apple,jabłko,Apfel
dog,pies,Hund
cat,kot,Katze
house,dom,Haus
car,samochód,Auto
tree,drzewo,Baum
book,książka,Buch
water,woda,Wasser
sun,słońce,Sonne
moon,księżyc,Mond
star,gwiazda,Stern
friend,przyjaciel,Freund
family,rodzina,Familie
school,szkoła,Schule
teacher,nauczyciel,Lehrer
student,uczeń,Schüler
pen,długopis,Kugelschreiber
paper,papier,Blatt
phone,telefon,Handy
computer,komputer,Computer
table,stół,Tisch
chair,krzesło,Stuhl
door,drzwi,Tür
window,okno,Fenster
flower,kwiat,Blume
mountain,góra,Berg
river,rzeka,Fluss
ocean,ocean,Ozean
rain,deszcz,Regen
snow,śnieg,Schnee
wind,wiatr,Wind
fire,ogień,Feuer
earth,ziemia,Erde
air,powietrze,Luft
food,jedzenie,Essen
bread,chleb,Brot
milk,mleko,Milch
coffee,kawa,Kaffee
tea,herbata,Tee
sugar,cukier,Zucker
salt,sól,Salz
butter,masło,Butter
cheese,ser,Käse
meat,mięso,Fleisch
fish,ryba,Fisch
chicken,kurczak,Huhn
egg,jajko,Ei
fruit,owoc,Frucht
vegetable,warzywo,Gemüse
potato,ziemniak,Kartoffel
tomato,pomidor,Tomate
onion,cebula,Zwiebel
garlic,czosnek,Knoblauch
carrot,marchewka,Karotte
cucumber,ogórek,Gurke
banana,banan,Banane
orange,pomarańcza,Orange
grape,winogrono,Traube
strawberry,truskawka,Erdbeere
blueberry,borówka,Heidelbeere
chocolate,czekolada,Schokolade
cake,ciasto,Kuchen
ice cream,lody,Eis
honey,miód,Honig
jam,dżem,Marmelade
candy,cukierek,Bonbon
cookie,ciastko,Keks
music,muzyka,Musik
song,piosenka,Lied
guitar,gitara,Gitarre
piano,fortepian,Klavier
violin,skrzypce,Geige
drum,bęben,Trommel
movie,film,Film
actor,aktor,Schauspieler
actress,aktorka,Schauspielerin
theater,teatr,Theater
bookstore,księgarnia,Buchhandlung
library,biblioteka,Bibliothek
market,targ,Markt
shop,sklep,Laden
supermarket,supermarket,Supermarkt
pharmacy,apteka,Apotheke
hospital,szpital,Krankenhaus
doctor,lekarz,Arzt
police,policja,Polizei
firefighter,strażak,Feuerwehrmann
engineer,inżynier,Ingenieur
scientist,naukowiec,Wissenschaftler
artist,artysta,Künstler
writer,pisarz,Schriftsteller
journalist,dziennikarz,Journalist
pilot,pilot,Pilot
driver,kierowca,Fahrer
chef,kucharz,Koch
waiter,kelner,Kellner
farmer,rolnik,Bauer
soldier,żołnierz,Soldat
king,król,König
queen,królowa,Königin
prince,książę,Prinz
princess,księżniczka,Prinzessin
child,dziecko,Kind
baby,niemowlę,Baby
